Key,Epic Link,Summary,Status,Updated
DEOPSCSW-2,CSW-I0,Setup github repo,Done,3/1/17 2:12
DEOPSCSW-3,CSW-I0,Setup the project template with build.sbt,Done,3/13/17 21:40
DEOPSCSW-4,CSW-I0,Setup JIRA,Done,2/23/17 20:53
DEOPSCSW-5,CSW-I0,Integration coverage tool in build (scoverage),Done,2/23/17 21:47
DEOPSCSW-6,CSW-I0,Spike on other static analysis tools,Done,2/28/17 5:32
DEOPSCSW-7,CSW-I0,Integrate scalafmt - basic setup,Done,3/1/17 2:13
DEOPSCSW-8,CSW-I0,package and publish library jar,Done,3/8/17 21:39
DEOPSCSW-9,CSW-I0,Document details on router configuration for jmDNS,Done,3/12/17 23:40
DEOPSCSW-10,CSW-I0,Setup paradox/tut for documentation,Done,4/14/17 3:18
DEOPSCSW-12,Location Service,Create location service API,Done,4/14/17 3:18
DEOPSCSW-13,Location Service,Java API for location service,Done,4/18/17 10:56
DEOPSCSW-14,Location Service,Codec for data model,Done,4/14/17 14:41
DEOPSCSW-15,Location Service,Spike jmDNS/CRDT perf,Done,4/18/17 12:35
DEOPSCSW-16,Location Service,Register a component,Done,4/14/17 15:04
DEOPSCSW-17,Location Service,List registered services,Done,4/4/17 22:57
DEOPSCSW-18,Location Service,Validate unique registrations,Done,4/17/17 19:17
DEOPSCSW-19,Location Service,CRDT with Multiple NICs,Done,4/19/17 10:37
DEOPSCSW-20,Location Service,Register a service,Done,4/17/17 2:01
DEOPSCSW-22,Location Service,jmDNS with Multiple subnets,STIL validation,12/13/17 15:28
DEOPSCSW-23,Location Service,Unregister a comp/service,Done,4/18/17 10:46
DEOPSCSW-24,Location Service,Filter by comp/service type,Done,4/4/17 21:28
DEOPSCSW-26,Location Service,Track a connection,Done,4/18/17 11:59
DEOPSCSW-27,Configuration Service,Storing binary component configurations,Done,5/10/17 1:57
DEOPSCSW-31,Location Service,Filter by hostname,Done,4/6/17 1:44
DEOPSCSW-32,Location Service,Filter by connection type,Done,4/6/17 2:06
DEOPSCSW-34,Location Service,Resolve a connection,Done,4/17/17 12:18
DEOPSCSW-35,Location Service,CRDT detects comp/service crash,Done,4/18/17 12:23
DEOPSCSW-36,Location Service,Track a crashed service/comp,Done,6/13/17 6:59
DEOPSCSW-37,,TMT-CSW Inception,Done,2/28/17 5:15
DEOPSCSW-39,Location Service,examples of Location Service,Done,7/20/17 13:47
DEOPSCSW-40,Location Service,Location service programming documentation,Done,6/21/17 7:14
DEOPSCSW-42,Configuration Service,Storing text based component configuration,Done,5/2/17 21:29
DEOPSCSW-43,Configuration Service,Access Configuration service from any CSW component,Done,12/4/17 2:39
DEOPSCSW-45,Configuration Service,Saving version information for config. file,Done,5/10/17 1:39
DEOPSCSW-46,Configuration Service,Unique identifier for configuration file version,Done,5/4/17 7:39
DEOPSCSW-47,Configuration Service,Unique name for configuration file,Done,5/4/17 7:58
DEOPSCSW-48,Configuration Service,Store new configuration file in Config. service,Done,5/10/17 2:07
DEOPSCSW-49,Configuration Service,Update an Existing File with a New Version,Done,5/16/17 11:01
DEOPSCSW-50,Location Service,Create skeleton project structure for writing integration tests,Done,3/20/17 3:02
